May 2025 Settlement Values,
Dow Jones (DJS):,127.3
Russell 2000 (RLS):,762.27
NASDAQ 100 (NDS):,2547.5
May 2012 Settlement Values,
S&P 100 (OEX):,591.61
S&P 500 (SET):,1310.33
VIX Options (VRO):,21.46
VXEEM Options (VXEST):,33.75
VXEWZ Options (VSEWZ),37.99
OVX Options (OVXST),32.13
GVZ Options (GVN):,20.32
Dow Jones (DJS):,124.89
Russell 2000 (RLS):,753.6
NASDAQ 100 (NDS):,2520.28
April 2012 Settlement Values,
S&P 100 (OEX):,626.1
S&P 500 (SET):,1383.4
VIX Options (VRO):,19.06
VXEEM Options (VXEST):,26.91
VXEWZ Options (VSEWZ),31.3
GVZ Options (GVN):,17.92
Dow Jones (DJS):,130.23
Russell 2000 (RLS):,812.66
NASDAQ 100 (NDS):,2705.19
March 2012 Settlement Values,
S&P 100 (OEX):,637.85
S&P 500 (SET):,1405.11
VIX Options (VRO):,14.55
VXEEM Options (VXEST):,25.63
GVZ Options (GVN):,18.26
Dow Jones (DJS):,133.03
Russell 2000 (RLS):,833.17
NASDAQ 100 (NDS):,2713.06
February 2012 Settlement Values,
S&P 100 (OEX):,615.06
S&P 500 (SET):,1363.8
VIX Options (VRO):,20.44
VXEEM Options (VXEST):,29.73
GVZ Options (GVN):,18.69
Dow Jones (DJS):,129.68
Russell 2000 (RLS):,833.16
NASDAQ 100 (NDS):,2586.93
January 2012 Settlement Values,
S&P 100 (OEX):,595.95
S&P 500 (SET):,1313.93
VIX Options (VRO):,23.64
GVZ Options (GVN):,22.27
Dow Jones (DJS):,126.46
Russell 2000 (RLS):,780.62
NASDAQ 100 (NDS):,2434.36
December 2011 Settlement Values,
S&P 100 (OEX):,553.61
S&P 500 (SET):,1225.05
VIX Options (VRO):,21.36
GVZ Options (GVN):,20.91
Dow Jones (DJS):,119.49
Russell 2000 (RLS):,721.85
NASDAQ 100 (NDS):,2242.25
November 2011 Settlement Values,
S&P 100 (OEX):,547.8
S&P 500 (SET):,1221.58
VIX Options (VRO):,33.36
GVZ Options (GVN):,26.21
Dow Jones (DJS):,118.28
Russell 2000 (RLS):,720.35
NASDAQ 100 (NDS):,2271.19
October 2011 Settlement Values,
S&P 100 (OEX):,558.47
S&P 500 (SET):,1228.16
VIX Options (VRO):,33.15
GVZ Options (GVN):,29.44
Dow Jones (DJS):,116.61
Russell 2000 (RLS):,709.83
NASDAQ 100 (NDS):,2332.99
September 2011 Settlement Values,
S&P 100 (OEX):,546.43
S&P 500 (SET):,1216.74
VIX Options (VRO):,33.72
GVZ Options (GVN):,30.47
Dow Jones (DJS):,115.01
Russell 2000 (RLS):,717.19
NASDAQ 100 (NDS):,2292.79
August 2011 Settlement Values,
S&P 100 (OEX):,509.01
S&P 500 (SET):,1126.95
VIX Options (VRO):,32.73
GVZ Options (GVN):,25.54
Dow Jones (DJS):,108.54
Russell 2000 (RLS):,651.7
NASDAQ 100 (NDS):,2049.88
July 2011 Settlement Values,
S&P 100 (OEX):,587.72
S&P 500 (SET):,1316.02
VIX Options (VRO):,19.1
GVZ Options (GVN):,17.82
Dow Jones (DJS):,124.86
Russell 2000 (RLS):,826.81
NASDAQ 100 (NDS):,2349.17
June 2011 Settlement Values,
S&P 100 (OEX):,567.04
S&P 500 (SET):,1279.4
VIX Options (VRO):,19.73
GVZ Options (GVN):,15.32
Dow Jones (DJS):,120.47
Russell 2000 (RLS):,787.57
NASDAQ 100 (NDS):,2225.78
May 2011 Settlement Values,
S&P 100 (OEX):,591.35
S&P 500 (SET):,1342.55
VIX Options (VRO):,18.02
GVZ Options (GVN):,18.79
Dow Jones (DJS):,126.01
Russell 2000 (RLS):,831.14
NASDAQ 100 (NDS):,2366.74
April 2011 Settlement Values,
S&P 100 (OEX):,588.56
S&P 500 (SET):,1318.74
VIX Options (VRO):,14.86
Dow Jones (DJS):,123.25
Russell 2000 (RLS):,825.38
NASDAQ 100 (NDS):,2312.09
March 2011 Settlement Values,
S&P 100 (OEX):,572.93
S&P 500 (SET):,1287.71
VIX Options (VRO):,25.14
Dow Jones (DJS):,119.1
Russell 2000 (RLS):,793.28
NASDAQ 100 (NDS):,2242.96
February 2011 Settlement Values,
S&P 100 (OEX):,602.49
S&P 500 (SET):,1342.21
VIX Options (VRO):,16.49
Dow Jones (DJS):,123.3
Russell 2000 (RLS):,838.2
NASDAQ 100 (NDS):,2398.87
January 2011 Settlement Values,
S&P 100 (OEX):,579.55
S&P 500 (SET):,1289.25
VIX Options (VRO):,16.38
Dow Jones (DJS):,118.94
Russell 2000 (RLS):,782.92
NASDAQ 100 (NDS):,2299.08
December 2010 Settlement Values,
S&P 100 (OEX):,559.49
S&P 500 (SET):,1242.35
VIX Options (VRO):,16.01
Dow Jones (DJS):,114.92
Russell 2000 (RLS):,777.11
NASDAQ 100 (NDS):,2222.92
November 2010 Settlement Values,
S&P 100 (OEX):,539.99
S&P 500 (SET):,1195.73
VIX Options (VRO):,22.21
Dow Jones (DJS):,111.76
Russell 2000 (RLS):,720.15
NASDAQ 100 (NDS):,2131.17
October 2010 Settlement Values,
S&P 100 (OEX):,530.78
S&P 500 (SET):,1183.67
VIX Options (VRO):,21.41
Dow Jones (DJS):,111.59
Russell 2000 (RLS):,712.93
NASDAQ 100 (NDS):,2083.59
September 2010 Settlement Values,
S&P 100 (OEX):,509.04
S&P 500 (SET):,1131.15
VIX Options (VRO):,22.97
Dow Jones (DJS):,106.43
Russell 2000 (RLS):,654.67
NASDAQ 100 (NDS):,1959.83
August 2010 Settlement Values,
S&P 100 (OEX):,485.86
S&P 500 (SET):,1072.25
VIX Options (VRO):,24.82
Dow Jones (DJS):,102.41
Russell 2000 (RLS):,607.9
NASDAQ 100 (NDS):,1820.9
July 2010 Settlement Values,
S&P 100 (OEX):,484.21
S&P 500 (SET):,1090.63
VIX Options (VRO):,23.79
Dow Jones (DJS):,103.14
Russell 2000 (RLS):,629.02
NASDAQ 100 (NDS):,1854.19
June 2010 Settlement Values,
S&P 100 (OEX):,504.7
S&P 500 (SET):,1118.83
VIX Options (VRO):,26.11
Dow Jones (DJS):,104.55
Russell 2000 (RLS):,669.25
NASDAQ 100 (NDS):,1912.97
May 2010 Settlement Values,
S&P 100 (OEX):,494.31
S&P 500 (SET):,1050.15
VIX Options (VRO):,34.53
Dow Jones (DJS):,98.83
Russell 2000 (RLS):,629.95
NASDAQ 100 (NDS):,1766.42
April 2010 Settlement Values,
S&P 100 (OEX):,544.68
S&P 500 (SET):,1207.93
VIX Options (VRO):,15.8
Dow Jones (DJS):,111.3
Russell 2000 (RLS):,723.56
NASDAQ 100 (NDS):,2028.92
March 2010 Settlement Values,
S&P 100 (OEX):,530.53
S&P 500 (SET):,1172.95
VIX Options (VRO):,16.68
Dow Jones (DJS):,108.5
Russell 2000 (RLS):,684.64
NASDAQ 100 (NDS):,1955.83
February 2010 Settlement Values,
S&P 100 (OEX):,508.57
S&P 500 (SET):,1101.98
VIX Options (VRO):,22.5
Dow Jones (DJS):,103.6
Russell 2000 (RLS):,628.69
NASDAQ 100 (NDS):,1814.69
January 2010 Settlement Values,
S&P 100 (OEX):,524.11
S&P 500 (SET):,1147.58
VIX Options (VRO):,18.87
Dow Jones (DJS):,106.73
Russell 2000 (RLS):,649.05
NASDAQ 100 (NDS):,1899.77
December 2009 Settlement Values,
S&P 100 (OEX):,508.73
S&P 500 (SET):,1102.38
VIX Options (VRO):,20.84
Dow Jones (DJS):,103.59
Russell 2000 (RLS):,609.33
NASDAQ 100 (NDS):,1794.94
November 2009 Settlement Values,
S&P 100 (OEX):,508.79
S&P 500 (SET):,1090.84
VIX Options (VRO):,22.54
Dow Jones (DJS):,103.15
Russell 2000 (RLS):,581.82
NASDAQ 100 (NDS):,1757.32
October 2009 Settlement Values,
S&P 100 (OEX):,502.89
S&P 500 (SET):,1087.5
VIX Options (VRO):,20.82
Dow Jones (DJS):,99.67
Russell 2000 (RLS):,619.7
NASDAQ 100 (NDS):,1747.55
September 2009 Settlement Values,
S&P 100 (OEX):,492.7
S&P 500 (SET):,1071.57
VIX Options (VRO):,23.64
Dow Jones (DJS):,98.38
Russell 2000 (RLS):,617.54
NASDAQ 100 (NDS):,1733.48
August 2009 Settlement Values,
S&P 100 (OEX):,476.11
S&P 500 (SET):,1020.85
VIX Options (VRO):,28.76
Dow Jones (DJS):,94.66
Russell 2000 (RLS):,576.88
NASDAQ 100 (NDS):,1631.4
July 2009 Settlement Values,
S&P 100 (OEX):,441.14
S&P 500 (SET):,940.03
VIX Options (VRO):,23.48
Dow Jones (DJS):,87.31
Russell 2000 (RLS):,523.32
NASDAQ 100 (NDS):,1524.45
June 2009 Settlement Values,
S&P 100 (OEX):,430.43
S&P 500 (SET):,926.15
VIX Options (VRO):,31.03
Dow Jones (DJS):,86.08
Russell 2000 (RLS):,517.24
NASDAQ 100 (NDS):,1470.53
May 2009 Settlement Values,
S&P 100 (OEX):,414.23
S&P 500 (SET):,891.06
VIX Options (VRO):,27.04
Dow Jones (DJS):,83.12
Russell 2000 (RLS):,481.06
NASDAQ 100 (NDS):,1356.59
April 2009 Settlement Values,
S&P 100 (OEX):,406.33
S&P 500 (SET):,870.59
VIX Options (VRO):,38.2
Dow Jones (DJS):,81.84
Russell 2000 (RLS):,475.52
NASDAQ 100 (NDS):,1353.16
March 2009 Settlement Values,
S&P 100 (OEX):,363.4
S&P 500 (SET):,789.4
VIX Options (VRO):,40.62
Dow Jones (DJS):,74.54
Russell 2000 (RLS):,416.78
NASDAQ 100 (NDS):,1215.15
February 2009 Settlement Values,
S&P 100 (OEX):,363.75
S&P 500 (SET):,768.2
VIX Options (VRO):,48.4
Dow Jones (DJS):,73.61
Russell 2000 (RLS):,409.86
NASDAQ 100 (NDS):,1160.57
January 2009 Settlement Values,
S&P 100 (OEX):,400.96
S&P 500 (SET):,859.37
VIX Options (VRO):,49.88
Dow Jones (DJS):,83.34
Russell 2000 (RLS):,466.59
NASDAQ 100 (NDS):,1201.54
December 2008 Settlement Values,
S&P 100 (OEX):,424.18
S&P 500 (SET):,889.74
VIX Options (VRO):,51.29
Dow Jones (DJS):,86.49
Russell 2000 (RLS):,492.2
NASDAQ 100 (NDS):,1216.54
November 2008 Settlement Values,
S&P 100 (OEX):,389.88
S&P 500 (SET):,763.45
VIX Options (VRO):,67.22
Dow Jones (DJS):,76.33
Russell 2000 (RLS):,392.51
NASDAQ 100 (NDS):,1052.62
October 2008 Settlement Values,
S&P 100 (OEX):,448.99
S&P 500 (SET):,922.71
VIX Options (VRO):,63.04
Dow Jones (DJS):,87.51
Russell 2000 (RLS):,517.95
NASDAQ 100 (NDS):,1285.36
September 2008 Settlement Values,
S&P 100 (OEX):,577.91
S&P 500 (SET):,1279.31
VIX Options (VRO):,31.54
Dow Jones (DJS):,116.29
Russell 2000 (RLS):,771.41
NASDAQ 100 (NDS):,1768.09
August 2008 Settlement Values,
S&P 100 (OEX):,598.88
S&P 500 (SET):,1294.49
VIX Options (VRO):,20.83
Dow Jones (DJS):,116.45
Russell 2000 (RLS):,765.07
NASDAQ 100 (NDS):,1970.66
July 2008 Settlement Values,
S&P 100 (OEX):,580.57
S&P 500 (SET):,1264.17
VIX Options (VRO):,28.4
Dow Jones (DJS):,114.91
Russell 2000 (RLS):,697.55
NASDAQ 100 (NDS):,1825.06
June 2008 Settlement Values,
S&P 100 (OEX):,597.13
S&P 500 (SET):,1339.28
VIX Options (VRO):,21.54
Dow Jones (DJS):,120.3
Russell 2000 (RLS):,734.39
NASDAQ 100 (NDS):,1965.7
May 2008 Settlement Values,
S&P 100 (OEX):,652.15
S&P 500 (SET):,1425.7
VIX Options (VRO):,17.16
Dow Jones (DJS):,130.06
Russell 2000 (RLS):,748.67
NASDAQ 100 (NDS):,2040.22
April 2008 Settlement Values,
S&P 100 (OEX):,640.6
S&P 500 (SET):,1391.12
VIX Options (VRO):,21.78
Dow Jones (DJS):,128.37
Russell 2000 (RLS):,719.1
NASDAQ 100 (NDS):,1891.75
March 2008 Settlement Values,
S&P 100 (OEX):,620.38
S&P 500 (SET):,1302.64
VIX Options (VRO):,25.67
Dow Jones (DJS):,121.5
Russell 2000 (RLS):,677.84
NASDAQ 100 (NDS):,1722.98
February 2008 Settlement Values,
S&P 100 (OEX):,623.85
S&P 500 (SET):,1347.2
VIX Options (VRO):,25.51
Dow Jones (DJS):,123.67
Russell 2000 (RLS):,701.27
NASDAQ 100 (NDS):,1777.27
January 2008 Settlement Values,
S&P 100 (OEX):,620.43
S&P 500 (SET):,1333.94
VIX Options (VRO):,24.18
Dow Jones (DJS):,121.98
Russell 2000 (RLS):,678.49
NASDAQ 100 (NDS):,1838.72
December 2007 Settlement Values,
S&P 100 (OEX):,693.57
S&P 500 (SET):,1474.95
VIX Options (VRO):,22.08
Dow Jones (DJS):,133.55
Russell 2000 (RLS):,781.77
Nasdaq 100 (NDS):,2098.93
November 2007 Settlement Values,
S&P 100 (OEX):,680.61
S&P 500 (SET):,1462.47
VIX Options (VRO):,26.7
Dow Jones (DJS):,132.04
Russell 2000 (RLS):,772.65
Nasdaq 100 (NDS):,2039.82
October 2007 Settlement Values,
S&P 100 (OEX):,700.31
S&P 500 (SET):,1531.12
VIX Options (VRO):,18.33
Dow Jones (DJS):,137.69
Russell 2000 (RLS):,824.75
Nasdaq 100 (NDS):,2189.16
September 2007 Settlement Values,
S&P 100 (OEX):,713.35
S&P 500 (SET):,1533.38
VIX Options (VRO):,20.29
Dow Jones (DJS):,139.07
Russell 2000 (RLS):,816.81
Nasdaq 100 (NDS):,2043.56
August 2007 Settlement Values,
S&P 100 (OEX):,674.53
S&P 500 (SET):,1450.11
VIX Options (VRO):,25.05
Dow Jones (DJS):,131.54
Russell 2000 (RLS):,802.72
Nasdaq 100 (NDS):,1876.33
July 2007 Settlement Values,
S&P 100 (OEX):,709.92
S&P 500 (SET):,1551.46
VIX Options (VRO):,16.87
Dow Jones (DJS):,139.55
Russell 2000 (RLS):,849.97
Nasdaq 100 (NDS):,2052.66
June 2007 Settlement Values,
S&P 100 (OEX):,704.53
S&P 500 (SET):,1534.09
VIX Options (VRO):,13.01
Dow Jones (DJS):,136.57
Russell 2000 (RLS):,853.45
Nasdaq 100 (NDS):,1946.93
May 2007 Settlement Values,
S&P 100 (OEX):,699.8
S&P 500 (SET):,1517.46
VIX Options (VRO):,13.63
Dow Jones (DJS):,135.23
Russell 2000 (RLS):,818.8
Nasdaq 100 (NDS):,1892
April 2007 Settlement Values,
S&P 100 (OEX):,680.82
S&P 500 (SET):,1485.57
VIX Options (VRO):,12.03
Dow Jones (DJS):,129.78
Russell 2000 (RLS):,831.41
Nasdaq 100 (NDS):,1857.14
March 2007 Settlement Values,
S&P 100 (OEX):,633.94
S&P 500 (SET):,1396.12
VIX Options (VRO):,12.98
Dow Jones (DJS):,121.85
Russell 2000 (RLS):,783.69
Nasdaq 100 (NDS):,1747.24
February 2007 Settlement Values,
S&P 100 (OEX):,668.84
S&P 500 (SET):,1452.26
VIX Options (VRO):,9.95
Dow Jones (DJS):,127.73
Russell 2000 (RLS):,815.99
Nasdaq 100 (NDS):,1815.82
January 2007 Settlement Values,
S&P 100 (OEX):,665.38
S&P 500 (SET):,1427.92
VIX Options (VRO):,10.71
Dow Jones (DJS):,125.62
Russell 2000 (RLS):,777.77
Nasdaq 100 (NDS):,1785.29
December 2006 Settlement Values,
S&P 100 (OEX):,663.11
S&P 500 (SET):,1428.74
VIX Options (VRO):,10.05
Dow Jones (DJS):,124.65
Russell 2000 (RLS):,796.08
Nasdaq 100 (NDS):,1810.66
November 2006 Settlement Values,
S&P 100 (OEX):,652.6
S&P 500 (SET):,1394.31
VIX Options (VRO):,10.27
Dow Jones (DJS):,122.93
Russell 2000 (RLS):,790.37
Nasdaq 100 (NDS):,1789.5
October 2006 Settlement Values,
S&P 100 (OEX):,636.01
S&P 500 (SET):,1371.12
VIX Options (VRO):,11.43
Dow Jones (DJS):,120.16
Russell 2000 (RLS):,770.06
Nasdaq 100 (NDS):,1712.53
September 2006 Settlement Values,
S&P 100 (OEX):,609.01
S&P 500 (SET):,1323.12
VIX Options (VRO):,11.29
Dow Jones (DJS):,116.02
Russell 2000 (RLS):,732.45
Nasdaq 100 (NDS):,1641.08
August 2006 Settlement Values,
S&P 100 (OEX):,601.5
S&P 500 (SET):,1300.26
VIX Options (VRO):,12.29
Dow Jones (DJS):,113.86
Russell 2000 (RLS):,713.66
Nasdaq 100 (NDS):,1574.7
July 2006 Settlement Values,
S&P 100 (OEX):,572.5
S&P 500 (SET):,1251.72
VIX Options (VRO):,17.01
Dow Jones (DJS):,109.54
Russell 2000 (RLS):,681.8
Nasdaq 100 (NDS):,1456.55
June 2006 Settlement Values,
S&P 100 (OEX):,572.76
S&P 500 (SET):,1252.09
VIX Options (VRO):,17.29
Dow Jones (DJS):,110.09
Russell 2000 (RLS):,699.79
Nasdaq 100 (NDS):,1567.9
May 2006 Settlement Values,
S&P 100 (OEX):,578.88
S&P 500 (SET):,1264.71
VIX Options (VRO):,14.03
Dow Jones (DJS):,111.59
Russell 2000 (RLS):,717.19
Nasdaq 100 (NDS):,1583.45
April 2006 Settlement Values,
S&P 100 (OEX):,593.13
S&P 500 (SET):,1320.7
VIX Options (VRO):,11.94
Dow Jones (DJS):,114.25
Russell 2000 (RLS):,783.08
Nasdaq 100 (NDS):,1743.07
March 2006 Settlement Values,
S&P 100 (OEX):,593.49
S&P 500 (SET):,1310.16
VIX Options (VRO):,11.15
Dow Jones (DJS):,112.95
Russell 2000 (RLS):,746.76
Nasdaq 100 (NDS):,1681.22
February 2006 Settlement Values,
S&P 100 (OEX):,585.04
S&P 500 (SET):,1288.99
Dow Jones (DJS):,111.21
Russell 2000 (RLS):,734.81
Nasdaq 100 (NDS):,1683.6
January 2006 Settlement Values,
S&P 100 (OEX):,571.51
S&P 500 (SET):,1284.28
Dow Jones (DJS):,108.69
Russell 2000 (RLS):,718.41
Nasdaq 100 (NDS):,1723.76
December 2005 Settlement Values,
S&P 100 (OEX):,579.08
S&P 500 (SET):,1274.84
Dow Jones (DJS):,*109.25
Russell 2000 (RLS):,686.11
Nasdaq 100 (NDS):,1699.06
November 2005 Settlement Values,
S&P 100 (OEX):,574.69
S&P 500 (SET):,1254.85
Dow Jones (DJS):,108.44
Russell 2000 (RLS):,673.36
Nasdaq 100 (NDS):,*1691.09
October 2005 Settlement Values,
S&P 100 (OEX):,544.5
S&P 500 (SET):,1183.79
Dow Jones (DJS):,102.81
Russell 2000 (RLS):,627.45
Nasdaq 100 (NDS):,1577.28
September 2005 Settlement Values,
S&P 100 (OEX):,573.37
S&P 500 (SET):,1232.79
Dow Jones (DJS):,106.08
Russell 2000 (RLS):,669.53
Nasdaq 100 (NDS):,1591.92
August 2005 Settlement Values,
S&P 100 (OEX):,566.67
S&P 500 (SET):,1223.9
Dow Jones (DJS):,105.88
Russell 2000 (RLS):,651.13
Nasdaq 100 (NDS):,1574.57
July 2005 Settlement Values,
S&P 100 (OEX):,575.53
S&P 500 (SET):,1226.86
Dow Jones (DJS):,106.32
Russell 2000 (RLS):,659.42
Nasdaq 100 (NDS):,1579.19
June 2005 Settlement Values,
S&P 100 (OEX):,572.34
S&P 500 (SET):,1222.68
Dow Jones (DJS):,106.75
Russell 2000 (RLS):,646.12
Nasdaq 100 (NDS):,1553.96
May 2005 Settlement Values,
S&P 100 (OEX):,565.75
S&P 500 (SET):,1191.93
Dow Jones (DJS):,105.03
Russell 2000 (RLS):,610.97
Nasdaq 100 (NDS):,1521.59
April 2005 Settlement Values,
S&P 100 (OEX):,547.25
S&P 500 (SET):,1158.85
Dow Jones (DJS):,102.44
Russell 2000 (RLS):,592.06
Nasdaq 100 (NDS):,1425.81
March 2005 Settlement Values,
S&P 100 (OEX):,567.94
S&P 500 (SET):,1190.7
Dow Jones (DJS):,106.5
Russell 2000 (RLS):,628.71
Nasdaq 100 (NDS):,1486.9
February 2005 Settlement Values,
S&P 100 (OEX):,575.42
S&P 500 (SET):,1201.79
Dow Jones (DJS):,107.56
Russell 2000 (RLS):,634.04
Nasdaq 100 (NDS):,1520.57
January 2005 Settlement Values,
S&P 100 (OEX):,557.32
S&P 500 (SET):,1176.77
Dow Jones (DJS):,104.83
Russell 2000 (RLS):,614.52
Nasdaq 100 (NDS):,1515.88
December 2004 Settlement Values,
S&P 100 (OEX):,567.39
S&P 500 (SET):,1190.45
Dow Jones (DJS):,106.3
Russell 2000 (RLS):,641.83
Nasdaq 100 (NDS):,1607.64
November 2004 Settlement Values,
S&P 100 (OEX):,559.69
S&P 500 (SET):,1184.41
Dow Jones (DJS):,105.65
Russell 2000 (RLS):,619.38
Nasdaq 100 (NDS):,1581.42
October 2004 Settlement Values,
S&P 100 (OEX):,531.8
S&P 500 (SET):,1106.13
Dow Jones (DJS):,98.9
Russell 2000 (RLS):,565.46
Nasdaq 100 (NDS):,1430.81
September 2004 Settlement Values,
S&P 100 (OEX):,545.8
S&P 500 (SET):,1127.02
Dow Jones (DJS):,102.89
Russell 2000 (RLS):,578.83
Nasdaq 100 (NDS):,1419.03
August 2004 Settlement Values,
S&P 100 (OEX):,536.04
S&P 500 (SET):,1090.65
Dow Jones (DJS):,100.13
Russell 2000 (RLS):,539.34
Nasdaq 100 (NDS):,1351.83
July 2004 Settlement Values,
S&P 100 (OEX):,535.9
S&P 500 (SET):,1115.04
Dow Jones (DJS):,102.56
Russell 2000 (RLS):,563.65
Nasdaq 100 (NDS):,1426.35
June 2004 Settlement Values,
S&P 100 (OEX):,554.81
S&P 500 (SET):,1129.6
Dow Jones (DJS):,103.66
Russell 2000 (RLS):,566.9
Nasdaq 100 (NDS):,1457.35
May 2004 Settlement Values,
S&P 100 (OEX):,534.33
S&P 500 (SET):,1094.66
Dow Jones (DJS):,99.72
Russell 2000 (RLS):,544.22
Nasdaq 100 (NDS):,1409.50*
April 2004 Settlement Values,
S&P 100 (OEX):,554.94
S&P 500 (SET):,1133.81
Dow Jones (DJS):,104.38
Russell 2000 (RLS):,581.18
Nasdaq 100 (NDS):,1456.44
March 2004 Settlement Values,
S&P 100 (OEX):,543.68
S&P 500 (SET):,1120.18
Dow Jones (DJS):,102.91
Russell 2000 (RLS):,578.63
Nasdaq 100 (NDS):,1415.75
February 2004 Settlement Values,
S&P 100 (OEX):,564.87
S&P 500 (SET):,1150.76
Dow Jones (DJS):,106.88
Russell 2000 (RLS):,584.1
Nasdaq 100 (NDS):,1490.47
January 2004 Settlement Values,
S&P 100 (OEX):,564.72
S&P 500 (SET):,1137.52
Dow Jones (DJS):,106
Russell 2000 (RLS):,589.1
Nasdaq 100 (NDS):,1543.86
December 2003 Settlement Values,
S&P 100 (OEX):,540.26
S&P 500 (SET):,1091.61
Dow Jones (DJS):,102.98
Russell 2000 (RLS):,548.39
Nasdaq 100 (NDS):,1431.99
November 2003 Settlement Values,
S&P 100 (OEX):,511.77
S&P 500 (SET):,1038.14
Dow Jones (DJS):,96.31
Russell 2000 (RLS):,526.12
Nasdaq 100 (NDS):,1371.09
October 2003 Settlement Values,
S&P 100 (OEX):,518.12
S&P 500 (SET):,1051.24
Dow Jones (DJS):,98.05
Russell 2000 (RLS):,530.15
Nasdaq 100 (NDS):,1423.67
September 2003 Settlement Values,
S&P 100 (OEX):,520.62
S&P 500 (SET):,1039.6
Dow Jones (DJS):,96.83
Russell 2000 (RLS):,517.38
Nasdaq 100 (NDS):,1405.48
August 2003 Settlement Values,
S&P 100 (OEX):,498.3
S&P 500 (SET):,991.05
Dow Jones (DJS):,93.47
Russell 2000 (RLS):,471.97
Nasdaq 100 (NDS):,1249.12
July 2003 Settlement Values,
S&P 100 (OEX):,501.5
S&P 500 (SET):,989.25
Dow Jones (DJS):,91.27
Russell 2000 (RLS):,461.41
Nasdaq 100 (NDS):,1264.88
June 2003 Settlement Values,
S&P 100 (OEX):,502.39
S&P 500 (SET):,1001.56
Dow Jones (DJS):,92.52
Russell 2000 (RLS):,451.07
Nasdaq 100 (NDS):,1238.08
May 2003 Settlement Values,
S&P 100 (OEX):,475.72
S&P 500 (SET):,943.62*
Dow Jones (DJS):,86.97
Russell 2000 (RLS):,418.63
Nasdaq 100 (NDS):,1156.36
April 2003 Settlement Values,
S&P 100 (OEX):,453.71
S&P 500 (SET):,878.92
Dow Jones (DJS):,82.4
Russell 2000 (RLS):,381.38
Nasdaq 100 (NDS):,1054.35
March 2003 Settlement Values,
S&P 100 (OEX):,456.41
S&P 500 (SET):,887.16
Dow Jones (DJS):,83.96
Russell 2000 (RLS):,372.83
Nasdaq 100 (NDS):,1094.58
February 2003 Settlement Values,
S&P 100 (OEX):,429.87
S&P 500 (SET):,840.98
Dow Jones (DJS):,79.47
Russell 2000 (RLS):,359.99
Nasdaq 100 (NDS):,1002.2
January 2003 Settlement Values,
S&P 100 (OEX):,457.36
S&P 500 (SET):,908.33
Dow Jones (DJS):,86.26
Russell 2000 (RLS):,393.03
Nasdaq 100 (NDS):,1039.59
December 2002 Settlement Values,
S&P 100 (OEX):,455.46
S&P 500 (SET):,891.11
Dow Jones (DJS):,84.35
Russell 2000 (RLS):,383.98
Nasdaq 100 (NDS):,1015.26
November 2002 Settlement Values,
S&P 100 (OEX):,*463.72
S&P 500 (SET):,896.36
Dow Jones (DJS):,85.06
Russell 2000 (RLS):,384.42
Nasdaq 100 (NDS):,1043.74
October 2002 Settlement Values,
S&P 100 (OEX):,449.02
S&P 500 (SET):,873.57
Dow Jones (DJS):,82.14
Russell 2000 (RLS):,362.38
Nasdaq 100 (NDS):,935.98
September 2002 Settlement Values,
S&P 100 (OEX):,423.9
S&P 500 (SET):,846.24
Dow Jones (DJS):,79.76
Russell 2000 (RLS):,371.04
Nasdaq 100 (NDS):,873.85
August 2002 Settlement Values,
S&P 100 (OEX):,468.44
S&P 500 (SET):,923.82
Dow Jones (DJS):,87.88
Russell 2000 (RLS):,390.14
Nasdaq 100 (NDS):,967.44
July 2002 Settlement Values,
S&P 100 (OEX):,423.1
S&P 500 (SET):,864.12
Dow Jones (DJS):,82.54
Russell 2000 (RLS):,394.15
Nasdaq 100 (NDS):,974
June 2002 Settlement Values,
S&P 100 (OEX):,489.42
S&P 500 (SET):,991.33
Dow Jones (DJS):,93.2
Russell 2000 (RLS):,464.21
Nasdaq 100 (NDS):,1053.57
May 2002 Settlement Values,
S&P 100 (OEX):,553.3
S&P 500 (SET):,1100.82
Dow Jones (DJS):,103.05
Russell 2000 (RLS):,509.09
Nasdaq 100 (NDS):,1333.21
April 2002 Settlement Values,
S&P 100 (OEX):,559.79
S&P 500 (SET):,1130.25
Dow Jones (DJS):,102.84
Russell 2000 (RLS):,519.28
Nasdaq 100 (NDS):,1406.35
March 2002 Settlement Values,
S&P 100 (OEX):,591.13
S&P 500 (SET):,1158.6
Dow Jones (DJS):,105.35
Russell 2000 (RLS):,491.95
Nasdaq 100 (NDS):,1483.94
February 2002 Settlement Values,
S&P 100 (OEX):,559.65
S&P 500 (SET):,1116.54
Dow Jones (DJS):,100.05
Russell 2000 (RLS):,470.61
Nasdaq 100 (NDS):,1476.85
January 2002 Settlement Values,
S&P 100 (OEX):,575.24
S&P 500 (SET):,1127.53
Dow Jones (DJS):,97.71
Russell 2000 (RLS):,479.37
Nasdaq 100 (NDS):,1560.21
December 2001 Settlement Values,
S&P 100 (OEX):,586.41
S&P 500 (SET):,*1147.30
Dow Jones (DJS):,100.6
Russell 2000 (RLS):,477.45
Nasdaq 100 (NDS):,1578.3
November 2001 Settlement Values,
S&P 100 (OEX):,588.07
S&P 500 (SET):,1144.46
Dow Jones (DJS):,*99.26
Russell 2000 (RLS):,450.14
Nasdaq 100 (NDS):,1586.08
October 2001 Settlement Values,
S&P 100 (OEX):,553.8
S&P 500 (SET):,1066.62
