May 2025 Settlement Values,
VIX Options (VRO),14.22
October 2023 Settlement Values,
INDEX,SETTLEMENT VALUE
S&P 100 (OEX),1990.77
S&P 500 Scored & Screened Index,379.99
S&P 500 (SET),4275.7
S&P 500 PM-Settled,4224.16
MSCI EAFE (MXS),1960.4
MSCI Emerging Markets (EFS),925.58
Materials Select Sector Index (SISB),798.37
Communication Services Select Sector Index (SISC),347.36
Energy Select Sector Index (SISE),949.77
Industrials Select Sector Index (SISIN),995.28
Financial Select Sector Index (SISM),397.19
Consumer Staples Select Sector Index (SISR),677.84
Real Estate Select Sector Index (SISRE),160.66
Technology Select Sector Index (SIST),1651.17
Utilities Select Sector Index (SISUT),587.41
Dow Jones (DJS),333.72
Health Care Select Sector Index (SISV),1293.7
Consumer Discretionary Select Sector Index (SISY),1532.87
Russell 1000 Index (RIR),2338.97
Russell 1000 Growth (RLR),2698.79
Russell 1000 Value (RVS),1468.12
Mini-SPX (XSP),422.42
Russell 2000 (RLS),1706.35
VIX Options (VRO),18.37
September 2023 Settlement Values,
INDEX,SETTLEMENT VALUE
VIX Options (VRO),13.96
S&P 100 (OEX),2090.26
S&P 500 Scored & Screened Index,398.96
S&P 500 (SET),4491.72
S&P 500 PM-Settled,4450.32
MSCI EAFE (MXS),2108.22
MSCI Emerging Markets (EFS),984.99
Materials Select Sector Index (SISB),863.47
Communication Services Select Sector Index (SISC),352.71
Energy Select Sector Index (SISE),962.74
Industrials Select Sector Index (SISIN),1055.18
Financial Select Sector Index (SISM),427.83
Consumer Staples Select Sector Index (SISR),722.64
Real Estate Select Sector Index (SISRE),179.63
Technology Select Sector Index (SIST),1699.23
Utilities Select Sector Index (SISUT),652.63
Dow Jones (DJS),349.15
Health Care Select Sector Index (SISV),1332.01
Consumer Discretionary Select Sector Index (SISY),1732.74
Russell 1000 Index (RIR),2460.18
Russell 1000 Growth (RLR),2816.14
Russell 1000 Value (RVS),1558.31
Mini-SPX (XSP),445.03
Russell 2000 (RLS),1861.06
August 2023 Settlement Values,
INDEX,SETTLEMENT VALUE
S&P 100 (OEX),2039.32
S&P 500 Scored & Screened Index,384.01
S&P 500 (SET),4333.68
S&P 500 PM-Settled,4369.71
MSCI EAFE (MXS),2057.64
MSCI Emerging Markets (EFS),964.44
Materials Select Sector Index (SISB),856.04
Communication Services Select Sector Index (SISC),339.92
Energy Select Sector Index (SISE),929.02
Industrials Select Sector Index (SISIN),1068.88
Financial Select Sector Index (SISM),417.82
Consumer Staples Select Sector Index (SISR),734.95
Real Estate Select Sector Index (SISRE),177.53
Technology Select Sector Index (SIST),1659.79
Utilities Select Sector Index (SISUT),639.61
Dow Jones (DJS),342.69
Health Care Select Sector Index (SISV),1347.79
Consumer Discretionary Select Sector Index (SISY),1642.1
Russell 1000 Index (RIR),2371.74
Russell 1000 Growth (RLR),2669.78
Russell 1000 Value (RVS),1530.52
Mini-SPX (XSP),436.97
Russell 2000 (RLS),1832.17
VIX Options (VRO),16.28
July 2023 Settlement Values,
INDEX,SETTLEMENT VALUE
S&P 100 (OEX),2108.83
S&P 500 Scored & Screened Index,403.8
